Difference,Parameter,Reference,
-0.26999998,Gre,Hoyos et al. (2011),Hoya
-0.26999998,Gre,Hoyos et al. (2011),Hoya
-0.260399992,Gre,Hoyos et al. (2011),Hoya
-0.26,Gre,Hoyos et al. (2011),Hoya
-0.256799991,Gre,Hoyos et al. (2011),Hoya
-0.25,Gre,Hoyos et al. (2011),Hoya
-0.248400007,Gre,Hoyos et al. (2011),Hoya
-0.2480011,Gre,Hoyos et al. (2011),Hoya
-0.247200022,Gre,Hoyos et al. (2011),Hoya
-0.24000001,Gre,Hoyos et al. (2011),Hoya
-0.24000001,Gre,Hoyos et al. (2011),Hoya
-0.23999977,Gre,Hoyos et al. (2011),Hoya
-0.23999977,Gre,Hoyos et al. (2011),Hoya
-0.23999977,Gre,Hoyos et al. (2011),Hoya
-0.22999954,Gre,Hoyos et al. (2011),Hoya
-0.223999958,Gre,Hoyos et al. (2011),Hoya
-0.21999997,Gre,Hoyos et al. (2011),Hoya
-0.21999991,Gre,Hoyos et al. (2011),Hoya
-0.21299934,Gre,Hoyos et al. (2011),Hoya
-0.21000099,Gre,Hoyos et al. (2011),Hoya
-0.21000004,Gre,Hoyos et al. (2011),Hoya
-0.21000004,Gre,Hoyos et al. (2011),Hoya
-0.21000004,Gre,Hoyos et al. (2011),Hoya
-0.21000004,Gre,Hoyos et al. (2011),Hoya
-0.20999992,Gre,Hoyos et al. (2011),Hoya
-0.20999908,Gre,Hoyos et al. (2011),Hoya
-0.20999908,Gre,Hoyos et al. (2011),Hoya
-0.20000005,Gre,Hoyos et al. (2011),Hoya
-0.19999993,Gre,Hoyos et al. (2011),Hoya
-0.19999886,Gre,Hoyos et al. (2011),Hoya
-0.198800101,Gre,Hoyos et al. (2011),Hoya
-0.19000053,Gre,Hoyos et al. (2011),Hoya
-0.19000053,Gre,Hoyos et al. (2011),Hoya
-0.19000006,Gre,Hoyos et al. (2011),Hoya
-0.18999994,Gre,Hoyos et al. (2011),Hoya
-0.18000007,Gre,Hoyos et al. (2011),Hoya
-0.18000007,Gre,Hoyos et al. (2011),Hoya
-0.17999995,Gre,Hoyos et al. (2011),Hoya
-0.17999995,Gre,Hoyos et al. (2011),Hoya
-0.17000008,Gre,Hoyos et al. (2011),Hoya
-0.16999999,Gre,Hoyos et al. (2011),Hoya
-0.16999996,Gre,Hoyos et al. (2011),Hoya
-0.15999997,Gre,Hoyos et al. (2011),Hoya
-0.158799996,Gre,Hoyos et al. (2011),Hoya
-0.1500001,Gre,Hoyos et al. (2011),Hoya
-0.1500001,Gre,Hoyos et al. (2011),Hoya
-0.149999999,Gre,Hoyos et al. (2011),Hoya
-0.14999998,Gre,Hoyos et al. (2011),Hoya
-0.14999998,Gre,Hoyos et al. (2011),Hoya
-0.14999986,Gre,Hoyos et al. (2011),Hoya
-0.142400007,Gre,Hoyos et al. (2011),Hoya
-0.13999987,Gre,Hoyos et al. (2011),Hoya
-0.13400078,Gre,Hoyos et al. (2011),Hoya
-0.12999988,Gre,Hoyos et al. (2011),Hoya
-0.124799982,Gre,Hoyos et al. (2011),Hoya
-0.120000124,Gre,Hoyos et al. (2011),Hoya
-0.120000005,Gre,Hoyos et al. (2011),Hoya
-0.120000005,Gre,Hoyos et al. (2011),Hoya
-0.120000005,Gre,Hoyos et al. (2011),Hoya
-0.120000005,Gre,Hoyos et al. (2011),Hoya
-0.119999886,Gre,Hoyos et al. (2011),Hoya
-0.112999916,Gre,Hoyos et al. (2011),Hoya
-0.11199951,Gre,Hoyos et al. (2011),Hoya
-0.109999955,Gre,Hoyos et al. (2011),Hoya
-0.109999895,Gre,Hoyos et al. (2011),Hoya
-0.100000024,Gre,Weinzirl et al. (2014),Hoya
-0.09999943,Gre,Weinzirl et al. (2014),Hoya
-0.09700012,Gre,Weinzirl et al. (2014),Hoya
-0.09500027,Gre,Weinzirl et al. (2014),Hoya
-0.09000015,Gre,Weinzirl et al. (2014),Hoya
-0.089999974,Gre,Weinzirl et al. (2014),Hoya
-0.07999992,Gre,Weinzirl et al. (2014),Hoya
-0.07900047,Gre,Weinzirl et al. (2014),Hoya
-0.076999664,Gre,Weinzirl et al. (2014),Hoya
-0.069999695,Gre,Weinzirl et al. (2014),Hoya
-0.060000062,Gre,Weinzirl et al. (2014),Hoya
-0.059999943,Gre,Weinzirl et al. (2014),Hoya
-0.059999943,Gre,Weinzirl et al. (2014),Hoya
-0.050001144,Gre,Weinzirl et al. (2014),Hoya
-0.05000007,Gre,Weinzirl et al. (2014),Hoya
-0.050000012,Gre,Weinzirl et al. (2014),Hoya
-0.049999237,Gre,Weinzirl et al. (2014),Hoya
-0.049999237,Gre,Weinzirl et al. (2014),Hoya
-0.049600101,Gre,Weinzirl et al. (2014),Hoya
-0.04000002,Gre,Weinzirl et al. (2014),Hoya
-0.04000002,Gre,Weinzirl et al. (2014),Hoya
-0.03999996,Gre,Weinzirl et al. (2014),Hoya
-0.03999996,Gre,Weinzirl et al. (2014),Hoya
-0.03999901,Gre,Weinzirl et al. (2014),Hoya
-0.03000009,Gre,Weinzirl et al. (2014),Hoya
-0.029999971,Gre,Weinzirl et al. (2014),Hoya
-0.029999971,Gre,Weinzirl et al. (2014),Hoya
-0.01999998,Gre,Weinzirl et al. (2014),Hoya
-0.01999998,Gre,Weinzirl et al. (2014),Hoya
-0.016000748,Gre,Weinzirl et al. (2014),Hoya
-0.013999939,Gre,Weinzirl et al. (2014),Hoya
-0.01000011,Gre,Weinzirl et al. (2014),Hoya
-0.006000519,Gre,Weinzirl et al. (2014),Hoya
-0.005599952,Gre,Weinzirl et al. (2014),Hoya
0,Gre,Weinzirl et al. (2014),Hoya
0,Gre,Weinzirl et al. (2014),Hoya
0,Gre,Weinzirl et al. (2014),Hoya
0,Gre,Weinzirl et al. (2014),Hoya
0.00999999,Gre,Weinzirl et al. (2014),Hoya
0.010000229,Gre,Weinzirl et al. (2014),Hoya
0.010000229,Gre,Weinzirl et al. (2014),Hoya
0.011199899,Gre,Weinzirl et al. (2014),Hoya
0.01199913,Gre,Weinzirl et al. (2014),Hoya
0.013999939,Gre,Weinzirl et al. (2014),Hoya
0.017999649,Gre,Weinzirl et al. (2014),Hoya
0.01999855,Gre,Weinzirl et al. (2014),Hoya
0.01999998,Gre,Weinzirl et al. (2014),Hoya
0.020000458,Gre,Weinzirl et al. (2014),Hoya
0.020000458,Gre,Weinzirl et al. (2014),Hoya
0.02599907,Gre,Weinzirl et al. (2014),Hoya
0.028999329,Gre,Weinzirl et al. (2014),Hoya
0.029999733,Gre,Weinzirl et al. (2014),Hoya
0.030000687,Gre,Weinzirl et al. (2014),Hoya
0.032000275,Gre,Weinzirl et al. (2014),Hoya
0.038000107,Gre,Weinzirl et al. (2014),Hoya
0.03999996,Gre,Weinzirl et al. (2014),Hoya
0.03999996,Gre,Weinzirl et al. (2014),Hoya
0.03999996,Gre,Weinzirl et al. (2014),Hoya
0.04000008,Gre,Weinzirl et al. (2014),Hoya
0.042999268,Gre,Weinzirl et al. (2014),Hoya
0.049999952,Gre,Weinzirl et al. (2014),Hoya
0.05000019,Gre,Weinzirl et al. (2014),Hoya
0.05000019,Gre,Weinzirl et al. (2014),Hoya
0.05000019,Gre,Weinzirl et al. (2014),Hoya
0.058000565,Gn,Hoyos et al. (2011),Hoya
0.059000015,Gn,Hoyos et al. (2011),Hoya
0.059999466,Gn,Hoyos et al. (2011),Hoya
0.060000062,Gn,Hoyos et al. (2011),Hoya
0.060001373,Gn,Hoyos et al. (2011),Hoya
0.060998917,Gn,Hoyos et al. (2011),Hoya
0.06499863,Gn,Hoyos et al. (2011),Hoya
0.069999695,Gn,Hoyos et al. (2011),Hoya
0.06999993,Gn,Hoyos et al. (2011),Hoya
0.06999993,Gn,Hoyos et al. (2011),Hoya
0.06999993,Gn,Hoyos et al. (2011),Hoya
0.06999999,Gn,Hoyos et al. (2011),Hoya
0.072999954,Gn,Hoyos et al. (2011),Hoya
0.07700062,Gn,Hoyos et al. (2011),Hoya
0.07999992,Gn,Hoyos et al. (2011),Hoya
0.07999992,Gn,Hoyos et al. (2011),Hoya
0.07999992,Gn,Hoyos et al. (2011),Hoya
0.07999992,Gn,Hoyos et al. (2011),Hoya
0.07999992,Gn,Hoyos et al. (2011),Hoya
0.07999998,Gn,Hoyos et al. (2011),Hoya
0.09000003,Gn,Hoyos et al. (2011),Hoya
0.09000015,Gn,Hoyos et al. (2011),Hoya
0.09000015,Gn,Hoyos et al. (2011),Hoya
0.09000015,Gn,Hoyos et al. (2011),Hoya
0.0909996,Gn,Hoyos et al. (2011),Hoya
0.09700012,Gn,Hoyos et al. (2011),Hoya
0.099999905,Gn,Hoyos et al. (2011),Hoya
0.10000038,Gn,Hoyos et al. (2011),Hoya
0.1099987,Gn,Hoyos et al. (2011),Hoya
0.110000014,Gn,Hoyos et al. (2011),Hoya
0.11800003,Gn,Hoyos et al. (2011),Hoya
0.11899948,Gn,Hoyos et al. (2011),Hoya
0.11999893,Gn,Hoyos et al. (2011),Hoya
0.120000005,Gn,Hoyos et al. (2011),Hoya
0.12000084,Gn,Hoyos et al. (2011),Hoya
0.12199974,Gn,Hoyos et al. (2011),Hoya
0.122000694,Gn,Hoyos et al. (2011),Hoya
0.12699986,Gn,Hoyos et al. (2011),Hoya
0.12999916,Gn,Hoyos et al. (2011),Hoya
0.12999916,Gn,Hoyos et al. (2011),Hoya
0.13000107,Gn,Hoyos et al. (2011),Hoya
0.13199997,Gn,Hoyos et al. (2011),Hoya
0.13199997,Gn,Hoyos et al. (2011),Hoya
0.13999939,Gn,Hoyos et al. (2011),Hoya
0.13999939,Gn,Hoyos et al. (2011),Hoya
0.13999939,Gn,Hoyos et al. (2011),Hoya
0.13999987,Gn,Hoyos et al. (2011),Hoya
0.1420002,Gn,Hoyos et al. (2011),Hoya
0.14299965,Gn,Hoyos et al. (2011),Hoya
0.14999962,Gn,Hoyos et al. (2011),Hoya
0.14999962,Gn,Hoyos et al. (2011),Hoya
0.14999962,Gn,Hoyos et al. (2011),Hoya
0.14999962,Gn,Hoyos et al. (2011),Hoya
0.14999962,Gn,Hoyos et al. (2011),Hoya
0.14999962,Gn,Hoyos et al. (2011),Hoya
0.15000004,Gn,Hoyos et al. (2011),Hoya
0.15099907,Gn,Hoyos et al. (2011),Hoya
0.15400028,Gn,Hoyos et al. (2011),Hoya
0.15999985,Gn,Hoyos et al. (2011),Hoya
0.15999997,Gn,Hoyos et al. (2011),Hoya
0.16000003,Gn,Hoyos et al. (2011),Hoya
0.1600008,Gn,Hoyos et al. (2011),Hoya
0.16399956,Gn,Hoyos et al. (2011),Hoya
0.16499901,Gn,Hoyos et al. (2011),Hoya
0.16899967,Gn,Hoyos et al. (2011),Hoya
0.16900063,Gn,Hoyos et al. (2011),Hoya
0.17000008,Gn,Hoyos et al. (2011),Hoya
0.17000008,Gn,Hoyos et al. (2011),Hoya
0.17000008,Gn,Hoyos et al. (2011),Hoya
0.17300034,Gn,Hoyos et al. (2011),Hoya
0.1780014,Gn,Hoyos et al. (2011),Hoya
0.17999995,Gn,Hoyos et al. (2011),Hoya
0.1800003,Gn,Hoyos et al. (2011),Hoya
0.1800003,Gn,Hoyos et al. (2011),Hoya
0.1800003,Gn,Hoyos et al. (2011),Hoya
0.18999863,Gn,Hoyos et al. (2011),Hoya
0.18999863,Gn,Hoyos et al. (2011),Hoya
0.18999958,Gn,Hoyos et al. (2011),Hoya
0.18999958,Gn,Hoyos et al. (2011),Hoya
0.19000006,Gn,Hoyos et al. (2011),Hoya
0.19000006,Gn,Hoyos et al. (2011),Hoya
0.19000053,Gn,Hoyos et al. (2011),Hoya
0.19000053,Gn,Hoyos et al. (2011),Hoya
0.19399834,Gn,Hoyos et al. (2011),Hoya
0.1970005,Gn,Hoyos et al. (2011),Hoya
0.19799995,Gn,Hoyos et al. (2011),Hoya
0.19799995,Gn,Hoyos et al. (2011),Hoya
0.19999886,Gn,Hoyos et al. (2011),Hoya
0.19999981,Gn,Hoyos et al. (2011),Hoya
0.19999981,Gn,Hoyos et al. (2011),Hoya
0.20000005,Gn,Hoyos et al. (2011),Hoya
0.20599937,Gn,Hoyos et al. (2011),Hoya
0.20999908,Gn,Hoyos et al. (2011),Hoya
0.20999992,Gn,Hoyos et al. (2011),Hoya
0.21000004,Gn,Hoyos et al. (2011),Hoya
0.21000004,Gn,Hoyos et al. (2011),Hoya
0.21000004,Gn,Hoyos et al. (2011),Hoya
0.21000004,Gn,Hoyos et al. (2011),Hoya
0.21000004,Gn,Hoyos et al. (2011),Hoya
0.21000099,Gn,Hoyos et al. (2011),Hoya
0.214000015,Gn,Hoyos et al. (2011),Hoya
0.21899986,Gn,Hoyos et al. (2011),Hoya
0.21999931,Gn,Hoyos et al. (2011),Hoya
0.21999931,Gn,Hoyos et al. (2011),Hoya
0.21999931,Gn,Hoyos et al. (2011),Hoya
0.21999931,Gn,Hoyos et al. (2011),Hoya
0.21999931,Gn,Hoyos et al. (2011),Hoya
0.22000003,Gn,Hoyos et al. (2011),Hoya
0.22000122,Gn,Hoyos et al. (2011),Hoya
0.22299957,Gn,Hoyos et al. (2011),Hoya
0.22599983,Gn,Hoyos et al. (2011),Hoya
0.23000002,Gn,Hoyos et al. (2011),Hoya
0.2300005,Gn,Hoyos et al. (2011),Hoya
0.23099995,Gn,Hoyos et al. (2011),Hoya
0.23399925,Gn,Hoyos et al. (2011),Hoya
0.23600006,Gn,Hoyos et al. (2011),Hoya
0.23999977,Gn,Hoyos et al. (2011),Hoya
0.23999977,Gn,Hoyos et al. (2011),Hoya
0.23999977,Gn,Hoyos et al. (2011),Hoya
0.24000001,Gn,Hoyos et al. (2011),Hoya
0.24099922,Gn,Hoyos et al. (2011),Hoya
0.2470007,Gn,Hoyos et al. (2011),Hoya
0.24800014,Gn,Hoyos et al. (2011),Hoya
0.25,Gn,Hoyos et al. (2011),Hoya
0.25,Gn,Hoyos et al. (2011),Hoya
0.25,Gn,Hoyos et al. (2011),Hoya
0.25,Gn,Hoyos et al. (2011),Hoya
0.25,Gn,Hoyos et al. (2011),Hoya
0.25,Gn,Hoyos et al. (2011),Hoya
0.2510004,Gn,Hoyos et al. (2011),Hoya
0.25999832,Gn,Hoyos et al. (2011),Hoya
0.25999832,Gn,Hoyos et al. (2011),Hoya
0.26,Gn,Hoyos et al. (2011),Hoya
0.26000023,Gn,Hoyos et al. (2011),Hoya
0.26799965,Gn,Hoyos et al. (2011),Hoya
0.2699997,Gn,Hoyos et al. (2011),Hoya
0.27799988,Gn,Hoyos et al. (2011),Hoya
0.27999997,Gn,Hoyos et al. (2011),Hoya
0.2800002,Gn,Hoyos et al. (2011),Hoya
0.2800007,Gn,Hoyos et al. (2011),Hoya
0.2800007,Gn,Hoyos et al. (2011),Hoya
0.2800007,Gn,Hoyos et al. (2011),Hoya
0.2800007,Gn,Hoyos et al. (2011),Hoya
0.28299904,Gn,Hoyos et al. (2011),Hoya
0.2880001,Gn,Hoyos et al. (2011),Hoya
0.28999996,Gn,Hoyos et al. (2011),Hoya
0.29000092,Gn,Hoyos et al. (2011),Hoya
0.29100037,Gn,Hoyos et al. (2011),Hoya
0.29300022,Gn,Hoyos et al. (2011),Hoya
0.3000002,Gn,Hoyos et al. (2011),Hoya
0.30999947,Gn,Hoyos et al. (2011),Hoya
0.30999947,Gn,Hoyos et al. (2011),Hoya
0.30999947,Gn,Hoyos et al. (2011),Hoya
0.31200027,Gn,Hoyos et al. (2011),Hoya
0.3199997,Gn,Hoyos et al. (2011),Hoya
0.3249998,Gn,Hoyos et al. (2011),Hoya
0.32999992,Gn,Hoyos et al. (2011),Hoya
0.32999992,Gn,Hoyos et al. (2011),Hoya
0.33099937,Gn,Hoyos et al. (2011),Hoya
0.33300018,Gn,Hoyos et al. (2011),Hoya
0.3340006,Gn,Hoyos et al. (2011),Hoya
0.3359995,Gn,Hoyos et al. (2011),Hoya
0.3399992,Gn,Hoyos et al. (2011),Hoya
0.3409996,Gn,Hoyos et al. (2011),Hoya
0.34899902,Gn,Hoyos et al. (2011),Hoya
0.355999,Gn,Hoyos et al. (2011),Hoya
0.3560009,Gn,Hoyos et al. (2011),Hoya
0.36400032,Gn,Hoyos et al. (2011),Hoya
0.3770008,Gn,Hoyos et al. (2011),Hoya
0.37900066,Gn,Hoyos et al. (2011),Hoya
0.3800001,Gn,Hoyos et al. (2011),Hoya
0.38000107,Gn,Hoyos et al. (2011),Hoya
0.38000107,Gn,Hoyos et al. (2011),Hoya
0.3899994,Gn,Hoyos et al. (2011),Hoya
0.3899994,Gn,Hoyos et al. (2011),Hoya
0.39999962,Gn,Hoyos et al. (2011),Hoya
0.39999962,Gn,Hoyos et al. (2011),Hoya
0.39999962,Gn,Hoyos et al. (2011),Hoya
0.40000153,Gn,Hoyos et al. (2011),Hoya
0.40800095,Gn,Hoyos et al. (2011),Hoya
0.41000032,Gn,Hoyos et al. (2011),Hoya
0.4130001,Gn,Hoyos et al. (2011),Hoya
0.4130001,Gn,Hoyos et al. (2011),Hoya
0.42000008,Gn,Hoyos et al. (2011),Hoya
0.42000008,Gn,Hoyos et al. (2011),Hoya
0.42000008,Gn,Hoyos et al. (2011),Hoya
0.42000008,Gn,Hoyos et al. (2011),Hoya
0.42000008,Gn,Hoyos et al. (2011),Hoya
0.42999983,Gn,Hoyos et al. (2011),Hoya
0.42999983,Gn,Hoyos et al. (2011),Hoya
0.43900013,Gn,Hoyos et al. (2011),Hoya
0.43999863,Gn,Hoyos et al. (2011),Hoya
0.44000053,Gn,Hoyos et al. (2011),Hoya
0.45000076,Gn,Hoyos et al. (2011),Hoya
0.45899963,Gn,Hoyos et al. (2011),Hoya
0.46780014,Gn,Hoyos et al. (2011),Hoya
0.47000003,Gn,Hoyos et al. (2011),Hoya
0.47999954,Gn,Hoyos et al. (2011),Hoya
0.48000002,Gn,Hoyos et al. (2011),Hoya
0.4989996,Gn,Hoyos et al. (2011),Hoya
0.49999976,Gn,Hoyos et al. (2011),Hoya
0.5,Gn,Hoyos et al. (2011),Hoya
0.52000046,Gn,Hoyos et al. (2011),Hoya
0.5300001,Gn,Hoyos et al. (2011),Hoya
0.5300007,Gn,Hoyos et al. (2011),Hoya
0.539999,Gn,Hoyos et al. (2011),Hoya
0.5400009,Gn,Hoyos et al. (2011),Hoya
0.5420017,Gn,Hoyos et al. (2011),Hoya
0.5440006,Gn,Hoyos et al. (2011),Hoya
0.54999995,Gn,Hoyos et al. (2011),Hoya
0.5699997,Gn,Hoyos et al. (2011),Hoya
0.5799999,Gn,Hoyos et al. (2011),Hoya
0.5979996,Gn,Hoyos et al. (2011),Hoya
0.61,Gn,Hoyos et al. (2011),Hoya
0.612800388,Gn,Hoyos et al. (2011),Hoya
0.6140003,Gn,Hoyos et al. (2011),Hoya
0.62999916,Gn,Hoyos et al. (2011),Hoya
0.63699913,Gn,Hoyos et al. (2011),Hoya
0.63899994,Gn,Hoyos et al. (2011),Hoya
0.6399994,Gn,Weinzirl et al. (2014),Hoya
0.6499996,Gn,Weinzirl et al. (2014),Hoya
0.6500015,Gn,Weinzirl et al. (2014),Hoya
0.651001,Gn,Weinzirl et al. (2014),Hoya
0.6799984,Gn,Weinzirl et al. (2014),Hoya
0.6800003,Gn,Weinzirl et al. (2014),Hoya
0.7040005,Gn,Weinzirl et al. (2014),Hoya
0.7099991,Gn,Weinzirl et al. (2014),Hoya
0.73,Gn,Weinzirl et al. (2014),Hoya
0.74300003,Gn,Weinzirl et al. (2014),Hoya
0.75,Gn,Weinzirl et al. (2014),Hoya
0.75,Gn,Weinzirl et al. (2014),Hoya
0.7579994,Gn,Weinzirl et al. (2014),Hoya
0.7749996,Gn,Weinzirl et al. (2014),Hoya
0.7939997,Gn,Weinzirl et al. (2014),Hoya
0.82099915,Gn,Weinzirl et al. (2014),Hoya
0.82920002,Gn,Weinzirl et al. (2014),Hoya
0.84000015,Gn,Weinzirl et al. (2014),Hoya
0.87799835,Gn,Weinzirl et al. (2014),Hoya
0.8840008,Gn,Weinzirl et al. (2014),Hoya
0.9130001,Gn,Weinzirl et al. (2014),Hoya
0.927001,Gn,Weinzirl et al. (2014),Hoya
0.9660015,Gn,Weinzirl et al. (2014),Hoya
0.9679985,Gn,Weinzirl et al. (2014),Hoya
0.9699998,Gn,Weinzirl et al. (2014),Hoya
0.98,Gn,Weinzirl et al. (2014),Hoya
1.03,Gn,Weinzirl et al. (2014),Hoya
1.0799999,Gn,Weinzirl et al. (2014),Hoya
1.0960007,Gn,Weinzirl et al. (2014),Hoya
1.0980015,Gn,Weinzirl et al. (2014),Hoya
1.1700001,Gn,Weinzirl et al. (2014),Hoya
1.2860012,Gn,Weinzirl et al. (2014),Hoya
1.31,Gn,Weinzirl et al. (2014),Hoya
1.474799953,Gn,Weinzirl et al. (2014),Hoya
1.5100002,Gn,Weinzirl et al. (2014),Hoya
1.79,Gn,Weinzirl et al. (2014),Hoya
1.921599903,Gn,Weinzirl et al. (2014),Hoya
1.9890003,Gn,Weinzirl et al. (2014),Hoya
2.0900002,Gn,Weinzirl et al. (2014),Hoya
2.168399868,Gn,Weinzirl et al. (2014),Hoya
2.2,Gn,Weinzirl et al. (2014),Hoya
2.21,Gn,Weinzirl et al. (2014),Hoya
2.430799694,Gn,Weinzirl et al. (2014),Hoya
2.56,Gn,Weinzirl et al. (2014),Hoya
2.6000004,Gn,Weinzirl et al. (2014),Hoya
2.72,Gn,Weinzirl et al. (2014),Hoya
2.79,Gn,Weinzirl et al. (2014),Hoya
2.8899999,Gn,Weinzirl et al. (2014),Hoya
3.07,Gn,Weinzirl et al. (2014),Hoya